Symptom_en,Symptom_rus
Heberdens node,Узел Хебердена
Murphys sign,Симптом Мюрфе
Stahlis line,Линия Стахли
abdomen acute,острый живот
abdominal bloating,вздутие живота
abdominal tenderness,болезненность живота
abnormal sensation,ненормальное ощущение
abnormally hard consistency,аномально жесткая консистенция
abortion,аборт
abscess bacterial,абсцесс бактериальный
absences finding,отсутствие нахождения
achalasia,ахалазия
ache,болеть
adverse effect,вредное воздействие
adverse reaction,неблагоприятные реакции
agitation,волнение
air fluid level,уровень жидкости в воздухе
alcohol binge episode,эпизод алкогольного запоя
alcoholic withdrawal symptoms,симптомы алкогольной абстиненции
ambidexterity,двуличие
angina pectoris,ангина
anorexia,анорексия
anosmia,аносмия
aphagia,афагия
apyrexial,апирексия
arthralgia,артралгия
ascites,асцит
asterixis,астериксис
asthenia,слабость
asymptomatic,бессимптомный
ataxia,атаксия
atypia,атипия
aura,аура
awakening early,просыпаться рано
barking cough,лающий кашель
bedridden,прикованный к постели
behavior hyperactive,гиперактивное поведение
behavior showing increased motor activity,"поведение, показывающее повышенную двигательную активность"
blackout,затемнение
blanch,бледнеть
bleeding of vagina,кровотечение из влагалища
bowel sounds decreased,звуки кишечника уменьшились
bradycardia,брадикардия
bradykinesia,брадикинезия
breakthrough pain,прорывная боль
breath sounds decreased,звуки дыхания уменьшились
breath-holding spell,задержка дыхания
breech presentation,предлежание ягодичное
bruit,молва
burning sensation,обжигающее ощущение
cachexia,кахексия
cardiomegaly,кардиомегалия
cardiovascular event,сердечно-сосудистое событие
cardiovascular finding,сердечно-сосудистые заболевания
catatonia,кататония
catching breath,отдышаться
charleyhorse,спазмы в мышцах ног
chest discomfort,дискомфорт в груди
chest tightness,стеснение в груди
chill,озноб
choke,удушение
cicatrisation,рубцевание
clammy skin,липкая кожа
claudication,хромота
clonus,клонус
clumsiness,неуклюжесть
colic abdominal,колики в животе
consciousness clear,ясное сознание
constipation,запор
coordination abnormal,нарушение координации
cough,кашель
cushingoid facies,кушингоидные лица
cushingoid habitus,кушингоидная привычка
cyanosis,цианоз
cystic lesion,кистозное поражение
debilitation,истощение
decompensation,декомпенсация
decreased body weight,сниженная масса тела
decreased stool caliber,уменьшенный калибр лица
decreased translucency,пониженная прозрачность
diarrhea,диарея
difficulty,затруднение
difficulty passing urine,затруднение мочеиспускания
disequilibrium,нарушение равновесия
distended abdomen,вздутый живот
distress respiratory,респираторный дистресс
disturbed family,беспокойная семья
dizziness,головокружение
dizzy spells,приступы головокружения
drool,пускать слюни
drowsiness,сонливость
dullness,тупость
dysarthria,дизартрия
dysdiadochokinesia,дисдиадохокинезия
dysesthesia,дизестезия
dyspareunia,диспареуния
dyspnea,одышка
dyspnea on exertion,одышка при нагрузке
dysuria,дизурия
ecchymosis,экхимоз
egophony,эгофония
elation,восторг
emphysematous change,эмфизематозное изменение
energy increased,энергия увеличилась
enuresis,энурез
erythema,эритема
estrogen use,использование эстрогена
excruciating pain,мучительная боль
exhaustion,истощение
extrapyramidal sign,экстрапирамидный признак
extreme exhaustion,крайнее истощение
facial paresis,парез лица
fall,упадок
fatigability,утомляемость
fatigue,усталость
fear of falling,страх падения
fecaluria,фекалурия
feces in rectum,кал в прямой кишке
feeling hopeless,чувство безнадежности
feeling strange,чувствую себя странно
feeling suicidal,чувство суицида
feels hot/feverish,чувствует жар / лихорадку
fever,жар
flare,вспышка
flatulence,вспышка
floppy,пассивный
flushing,вспыхнуть
focal seizures,фокальные припадки
food intolerance,пищевая непереносимость
formication,мурашки по телу
frail,слабый
fremitus,дрожание
frothy sputum,пенистая мокрота
gag,замолчать
gasping for breath,задыхаться
general discomfort,общий дискомфорт
